"","Status","Paper.code","Paper.number","Screening.set","Extraction.set","Paper","Publication.year","Title","DOI","Species.latin","Family","Class","Phylum","Sex.exposed","Fertilisation.mode","Agricultural.importance","Lab.or.field","Animal.origin","Stressor.variation","Habitat","Country.of.origin","Continent.of.origin","Ocean.sea.of.origin","Exposure.duration","Life.stage.of.animal","Lowest.temp.below.10.C.","Constant.or.fluctuating.","Acclimated.","Experiment.code","Sex","Shared.Longevity.","Rearing.temperature","diff","reftemp","treattemp","warm.cool","es_reproduction","v_reproduction","es_longevity","v_longevity"
"147","Good","HUM54",2039,39,"22B","Chen et al., 2015b",2015,"Temperature-and Relative Humidity-Dependent Life History Traits of Phenacoccus solenopsis (Hemiptera: Pseudococcidae) on Hibiscus rosa-sinensis (Malvales: Malvaceae","10.1093/ee/nvv085","Phenacoccus solenopsis","Pseudococcidae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","HUM54A","Female","Female",NA,-5,25,20,"Cool",-7.582780037,0.387411264,7.720994471,0.400191501
"148","Good","HUM54",2039,39,"22B","Chen et al., 2015b",2015,"Temperature-and Relative Humidity-Dependent Life History Traits of Phenacoccus solenopsis (Hemiptera: Pseudococcidae) on Hibiscus rosa-sinensis (Malvales: Malvaceae","10.1093/ee/nvv085","Phenacoccus solenopsis","Pseudococcidae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","HUM54A","Female","Female",NA,2.5,25,27.5,"Warm",0,0.04,0.43920141,0.041165506
"149","Good","HUM54",2039,39,"22B","Chen et al., 2015b",2015,"Temperature-and Relative Humidity-Dependent Life History Traits of Phenacoccus solenopsis (Hemiptera: Pseudococcidae) on Hibiscus rosa-sinensis (Malvales: Malvaceae","10.1093/ee/nvv085","Phenacoccus solenopsis","Pseudococcidae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","HUM54A","Female","Female",NA,5,25,30,"Warm",-10.73580075,0.736395352,-4.515342526,0.163187993
"150","Good","HUM54",2039,39,"22B","Chen et al., 2015b",2015,"Temperature-and Relative Humidity-Dependent Life History Traits of Phenacoccus solenopsis (Hemiptera: Pseudococcidae) on Hibiscus rosa-sinensis (Malvales: Malvaceae","10.1093/ee/nvv085","Phenacoccus solenopsis","Pseudococcidae","Insecta","Arthropoda","Parthenogenetic",NA,"Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","HUM54A","Female","Female",NA,7.5,25,32.5,"Warm",-9.247200131,0.556663156,-3.752856707,0.125096352
"152","Good","HUM55",2040,39,"24A","Cherif et al., 2019",2019,"Elucidating key biological parameters of Tuta absoluta on different host plants and under various temperature and relative humidity regimes","10.1127/entomologia/2019/0685","Tuta absoluta","Gelechiidae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Juvenile","No","Fluctuating","Yes (>4 days)","HUM55B","Female","Yes",NA,-7,28,21,"Cool",-0.687476736,0.145025764,0.059401509,0.183413527
"181","Good","HUM71",2052,39,NA,"da Silva, 2002",2002,"Biology and thermal requirement of Tetranychus ludeni Zacher on cotton leaves","10.1590/S0100-204X2002000500001","Tetranychus ludeni","Tetranychidae","Arachnida","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","No","No","HUM71_A","Female","Female",NA,-5,25,20,"Cool",-0.071134437,0.100063251,0.200111055,0.100500555
"182","Good","HUM71",2052,39,NA,"da Silva, 2002",2002,"Biology and thermal requirement of Tetranychus ludeni Zacher on cotton leaves","10.1590/S0100-204X2002000500001","Tetranychus ludeni","Tetranychidae","Arachnida","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","No","No","HUM71_A","Female","Female",NA,-2,25,23,"Cool",0.03036588,0.100011526,0.164904868,0.10033992
"183","Good","HUM71",2052,39,NA,"da Silva, 2002",2002,"Biology and thermal requirement of Tetranychus ludeni Zacher on cotton leaves","10.1590/S0100-204X2002000500001","Tetranychus ludeni","Tetranychidae","Arachnida","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","No","No","HUM71_A","Female","Female",NA,3,25,28,"Warm",-0.220576227,0.100608173,-0.167866022,0.100352238
"184","Good","HUM71",2052,39,NA,"da Silva, 2002",2002,"Biology and thermal requirement of Tetranychus ludeni Zacher on cotton leaves","10.1590/S0100-204X2002000500001","Tetranychus ludeni","Tetranychidae","Arachnida","Arthropoda","Both","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","No","No","HUM71_A","Female","Female",NA,5,25,30,"Warm",0.094022541,0.100110503,-0.346828006,0.101503621
"192","Good","OSM149",2231,43,"2","Ismail et al.",2011,"Regulation of life history in the brackish cladoceran, Daphniopsis australis (Sergeev and Williams, 1985) by temperature and salinity","10.1093/plankt/fbq145","Daphniopsis australis","Daphniidae","Crustacea","Arthropoda","Parthenogenetic",NA,"No","Lab","Lab-reared","Experimental","Aquatic",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","OSM149A","Hermaphrodite","Hermaphrodite",21,-6,22,16,"Cool",0.018425816,0.080003395,0.724260105,0.085245527
"193","Good","OSM149",2231,43,"2","Ismail et al.",2011,"Regulation of life history in the brackish cladoceran, Daphniopsis australis (Sergeev and Williams, 1985) by temperature and salinity","10.1093/plankt/fbq145","Daphniopsis australis","Daphniidae","Crustacea","Arthropoda","Parthenogenetic",NA,"No","Lab","Lab-reared","Experimental","Aquatic",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","OSM149A","Hermaphrodite","Hermaphrodite",21,3,22,25,"Warm",-4.002213617,0.240177138,-2.661709365,0.150846968
"194","Good","OSM151",2232,43,"23","Jarrold et al.",2019,"Life-history trade-offs and limitations associated with phenotypic adaptation under future ocean warming and elevated salinity","10.1098/rstb.2018.0428","Ophryotrocha labronica","Dorvilleidae","Polychaeta","Annelida","Both","External","No","Lab","Lab-reared","Experimental","Aquatic",NA,NA,NA,"More than 5 days","Egg","No","Constant","Yes (multiple generations)","OSM151_A","Female","Female",27,3,27,30,"Warm",-1.381137318,0.247688507,-0.368629242,0.203397188
"195","Good","OSM151",2232,43,"23","Jarrold et al.",2019,"Life-history trade-offs and limitations associated with phenotypic adaptation under future ocean warming and elevated salinity","10.1098/rstb.2018.0428","Ophryotrocha labronica","Dorvilleidae","Polychaeta","Annelida","Both","External","No","Lab","Lab-reared","Experimental","Aquatic",NA,NA,NA,"More than 5 days","Juvenile","No","Constant","Yes (multiple generations)","OSM151_B","Female","Female",27,3,27,30,"Warm",-2.5792537,0.366313741,-0.521745208,0.206805452
"204","Good","PH197",2280,44,"C","Weisse et al.",2013,"Multiple environmental stressors confine the ecological niche of the rotifer Cephalodella acidophila","10.1111/fwb.12104","Cephalodella acidophila","Notommatidae","Monogononta","Rotifera","Parthenogenetic",NA,"No","Lab","Lab-reared","Experimental","Aquatic",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","PH197_A","Female","Female",NA,-15,25,10,"Cool",0.105341787,0.083448926,0.305748868,0.084307108
"205","Good","PH197",2280,44,"C","Weisse et al.",2013,"Multiple environmental stressors confine the ecological niche of the rotifer Cephalodella acidophila","10.1111/fwb.12104","Cephalodella acidophila","Notommatidae","Monogononta","Rotifera","Parthenogenetic",NA,"No","Lab","Lab-reared","Experimental","Aquatic",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (> 4 days)","PH197_A","Female","Female",NA,-7.5,25,17.5,"Cool",0.079126639,0.083398552,0.147037564,0.083558542
"206","Good","TEMP1001",880,16,"8A","Kim, T.et al.",2013,"Age- and temperature-dependent oviposition model of Neoseiulus californicus (McGregor) (Acari: Phytoseiidae) with Tetranychus urticae as prey","10.1111/j.1439-0418.2012.01734.x","Neoseiulus californicus","Phytoseiidae","Arachnida","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP1001A","Female","Female",24,-8,24,16,"Cool",-1.297494448,0.089229202,0.473812168,0.075965622
"207","Good","TEMP1001",880,16,"8A","Kim, T.et al.",2013,"Age- and temperature-dependent oviposition model of Neoseiulus californicus (McGregor) (Acari: Phytoseiidae) with Tetranychus urticae as prey","10.1111/j.1439-0418.2012.01734.x","Neoseiulus californicus","Phytoseiidae","Arachnida","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP1001A","Female","Female",24,-4,24,20,"Cool",-0.873601571,0.077657567,0.086271755,0.071142594
"208","Good","TEMP1001",880,16,"8A","Kim, T.et al.",2013,"Age- and temperature-dependent oviposition model of Neoseiulus californicus (McGregor) (Acari: Phytoseiidae) with Tetranychus urticae as prey","10.1111/j.1439-0418.2012.01734.x","Neoseiulus californicus","Phytoseiidae","Arachnida","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP1001A","Female","Female",24,4,24,28,"Warm",-0.781206448,0.073696018,-1.298375869,0.082511562
"209","Good","TEMP1001",880,16,"8A","Kim, T.et al.",2013,"Age- and temperature-dependent oviposition model of Neoseiulus californicus (McGregor) (Acari: Phytoseiidae) with Tetranychus urticae as prey","10.1111/j.1439-0418.2012.01734.x","Neoseiulus californicus","Phytoseiidae","Arachnida","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP1001A","Female","Female",24,8,24,32,"Warm",-0.833682135,0.080243148,-1.512121274,0.094711193
"210","Good","TEMP1001",880,16,"8A","Kim, T.et al.",2013,"Age- and temperature-dependent oviposition model of Neoseiulus californicus (McGregor) (Acari: Phytoseiidae) with Tetranychus urticae as prey","10.1111/j.1439-0418.2012.01734.x","Neoseiulus californicus","Phytoseiidae","Arachnida","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP1001A","Female","Female",24,12,24,36,"Warm",-2.256865888,0.107731848,-2.20786468,0.105995521
"229","Good","TEMP1020",896,16,"8A","Kobori, Y.; Hanboonsong, Y.",2017,"Effect of temperature on the development and reproduction of the sugarcane white leaf insect vector, Matsumuratettix hiroglyphicus (Matsumura) (Hemiptera: Cicadellidae)","10.1016/j.aspen.2017.01.011","Matsumuratettix hieroglyphicus","Cicadellidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","Thailand","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP1020A","Female","Female",28,-2,27,25,"Cool",-1.461698511,0.126545837,1.81265738,0.140560035
"230","Good","TEMP1020",896,16,"8A","Kobori, Y.; Hanboonsong, Y.",2017,"Effect of temperature on the development and reproduction of the sugarcane white leaf insect vector, Matsumuratettix hiroglyphicus (Matsumura) (Hemiptera: Cicadellidae)","10.1016/j.aspen.2017.01.011","Matsumuratettix hieroglyphicus","Cicadellidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","Thailand","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP1020A","Female","Female",28,3,27,30,"Warm",-1.42556259,0.125273473,-0.824508599,0.108780616
"231","Good","TEMP1020",896,16,"8A","Kobori, Y.; Hanboonsong, Y.",2017,"Effect of temperature on the development and reproduction of the sugarcane white leaf insect vector, Matsumuratettix hiroglyphicus (Matsumura) (Hemiptera: Cicadellidae)","10.1016/j.aspen.2017.01.011","Matsumuratettix hieroglyphicus","Cicadellidae","Insecta","Arthropoda","Both","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","Thailand","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP1020A","Female","Female",28,8,27,35,"Warm",-3.127017585,0.285464299,-0.985853508,0.155959419
"252","Good","TEMP1053",926,17,"C","Kuo, M. H.et al.",2006,"Temperature-dependent development and population growth of Tetraneura nigriabdominalis (Homoptera : Pemphigidae) on three host plants","10.1093/jee/99.4.1209","Tetraneura nigriabdominalis","Aphididae","Insecta","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","Taiwan","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP1053_A","Female","Female",25,-15,25,10,"Cool",-1.401722764,0.186034471,0.109747393,0.159645522
"253","Good","TEMP1053",926,17,"C","Kuo, M. H.et al.",2006,"Temperature-dependent development and population growth of Tetraneura nigriabdominalis (Homoptera : Pemphigidae) on three host plants","10.1093/jee/99.4.1209","Tetraneura nigriabdominalis","Aphididae","Insecta","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","Taiwan","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP1053_A","Female","Female",25,-10,25,15,"Cool",-0.935999607,0.099358477,0.953690203,0.099714112
"254","Good","TEMP1053",926,17,"C","Kuo, M. H.et al.",2006,"Temperature-dependent development and population growth of Tetraneura nigriabdominalis (Homoptera : Pemphigidae) on three host plants","10.1093/jee/99.4.1209","Tetraneura nigriabdominalis","Aphididae","Insecta","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","Taiwan","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP1053_A","Female","Female",25,-5,25,20,"Cool",-0.431549265,0.083964154,0.200303397,0.082503021
"255","Good","TEMP1053",926,17,"C","Kuo, M. H.et al.",2006,"Temperature-dependent development and population growth of Tetraneura nigriabdominalis (Homoptera : Pemphigidae) on three host plants","10.1093/jee/99.4.1209","Tetraneura nigriabdominalis","Aphididae","Insecta","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","Taiwan","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP1053_A","Female","Female",25,5,25,30,"Warm",-0.083638621,0.08217176,-0.534344717,0.084957049
"256","Good","TEMP1053",926,17,"C","Kuo, M. H.et al.",2006,"Temperature-dependent development and population growth of Tetraneura nigriabdominalis (Homoptera : Pemphigidae) on three host plants","10.1093/jee/99.4.1209","Tetraneura nigriabdominalis","Aphididae","Insecta","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","Taiwan","Asia",NA,"More than 5 days","Mix","No","Constant","No","TEMP1053_A","Female","Female",25,10,25,35,"Warm",-1.375066579,0.26228876,-0.954114627,0.247870034
"257","Good","TEMP1054",927,17,"24B","Kuo, M.et al.",2006,"Temperature effects on life history traits of the corn leaf aphid, Rhopalosiphum maidis (Homoptera : Aphididae) on corn in Taiwan","10.1303/aez.2006.171","Ropalosiphum maidis","Aphididae","Insecta","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","Taiwan","Asia",NA,"More than 5 days","Mix","Yes","Constant","Yes (>4 days)","TEMP1054A","Female","Yes",NA,-19,25,6,"Cool",-1.677891983,0.149983164,0.365057394,0.129664569
"258","Good","TEMP1054",927,17,"24B","Kuo, M.et al.",2006,"Temperature effects on life history traits of the corn leaf aphid, Rhopalosiphum maidis (Homoptera : Aphididae) on corn in Taiwan","10.1303/aez.2006.171","Ropalosiphum maidis","Aphididae","Insecta","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","Taiwan","Asia",NA,"More than 5 days","Mix","Yes","Constant","Yes (>4 days)","TEMP1054A","Female","Yes",NA,-15,25,10,"Cool",-0.97354221,0.042890452,0.693732351,0.040668929
"259","Good","TEMP1054",927,17,"24B","Kuo, M.et al.",2006,"Temperature effects on life history traits of the corn leaf aphid, Rhopalosiphum maidis (Homoptera : Aphididae) on corn in Taiwan","10.1303/aez.2006.171","Ropalosiphum maidis","Aphididae","Insecta","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","Taiwan","Asia",NA,"More than 5 days","Mix","Yes","Constant","Yes (>4 days)","TEMP1054A","Female","Yes",NA,-10,25,15,"Cool",0.433422845,0.035302734,1.276122358,0.041512358
"260","Good","TEMP1054",927,17,"24B","Kuo, M.et al.",2006,"Temperature effects on life history traits of the corn leaf aphid, Rhopalosiphum maidis (Homoptera : Aphididae) on corn in Taiwan","10.1303/aez.2006.171","Ropalosiphum maidis","Aphididae","Insecta","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","Taiwan","Asia",NA,"More than 5 days","Mix","Yes","Constant","Yes (>4 days)","TEMP1054A","Female","Yes",NA,-5,25,20,"Cool",0.617330996,0.034743643,1.114575638,0.038302243
"261","Good","TEMP1054",927,17,"24B","Kuo, M.et al.",2006,"Temperature effects on life history traits of the corn leaf aphid, Rhopalosiphum maidis (Homoptera : Aphididae) on corn in Taiwan","10.1303/aez.2006.171","Ropalosiphum maidis","Aphididae","Insecta","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","Taiwan","Asia",NA,"More than 5 days","Mix","Yes","Constant","Yes (>4 days)","TEMP1054A","Female","Yes",NA,5,25,30,"Warm",-0.481608037,0.033177527,-0.576677218,0.033579968
"262","Good","TEMP1054",927,17,"24B","Kuo, M.et al.",2006,"Temperature effects on life history traits of the corn leaf aphid, Rhopalosiphum maidis (Homoptera : Aphididae) on corn in Taiwan","10.1303/aez.2006.171","Ropalosiphum maidis","Aphididae","Insecta","Arthropoda","Parthenogenetic","Internal","Pest","Lab","Wild-caught","Experimental","Terrestrial","Taiwan","Asia",NA,"More than 5 days","Mix","Yes","Constant","Yes (>4 days)","TEMP1054A","Female","Yes",NA,10,25,35,"Warm",-1.670641305,0.541196761,-1.172955406,0.529203388
"269","Good","TEMP109",183,2,"20","Athibai, S.; Sanoamuang, L.-O.",2008,"Effect of Temperature on Fecundity, Life Span and Morphology of Long- and Short-Spined Clones of Brachionus caudatus f. apsteini (Rotifera","10.1002/iroh.200711016","Brachionus caudatus","Brachionidae","Monogononta","Rotifera","Parthenogenetic",NA,"No","Lab","Lab-reared","Experimental","Aquatic",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP109_A","Female","Female",27,-5,25,20,"Cool",-0.755373832,0.714215802,1.329807601,0.814032355
"270","Good","TEMP109",183,2,"20","Athibai, S.; Sanoamuang, L.-O.",2008,"Effect of Temperature on Fecundity, Life Span and Morphology of Long- and Short-Spined Clones of Brachionus caudatus f. apsteini (Rotifera","10.1002/iroh.200711016","Brachionus caudatus","Brachionidae","Monogononta","Rotifera","Parthenogenetic",NA,"No","Lab","Lab-reared","Experimental","Aquatic",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","TEMP109_A","Female","Female",27,5,25,30,"Warm",0.272561009,0.672857459,-1.811183017,0.940031993
